emp_no,first_name,last_name,title,dept_name
10503,Dannz,Pell,Engineer,Production
10504,Xiong,Varker,Staff,Sales
10509,Abdelwaheb,Riesenhuber,Senior Staff,Sales
10512,Udi,Gihr,Senior Staff,Human Resources
10517,Tiina,Speek,Senior Staff,Sales
10519,Yonghoan,Alencar,Senior Staff,Research
10522,Marke,Cesareni,Senior Staff,Human Resources
10529,Ymte,Yetto,Assistant Engineer,Production
10531,Oguz,Gimbel,Staff,Human Resources
10538,Przemyslawa,Falby,Senior Engineer,Development
10541,Godehard,Eiter,Staff,Sales
10542,Yannis,Couchot,Senior Engineer,Development
10548,Ramalingam,Gunderson,Senior Staff,Sales
10552,Kazuhito,Shiratori,Senior Engineer,Production
10564,Jianhao,Thisen,Senior Engineer,Production
10568,Gao,Poulakidas,Staff,Sales
10575,Theirry,Yeung,Senior Engineer,Production
10586,Kirk,Vuskovic,Senior Engineer,Production
10591,Hidde,Hettesheimer,Staff,Marketing
10593,Falguni,Kenevan,Senior Engineer,Production
10596,Sanjit,Coors,Senior Staff,Sales
10603,Wayne,Restivo,Staff,Sales
10608,Adhemar,Talmor,Senior Engineer,Production
10610,Irena,Roccetti,Engineer,Development
10614,Gila,Ozeri,Senior Engineer,Production
10615,Keung,Delgrande,Senior Staff,Finance
10617,Hidekazu,Angel,Senior Staff,Customer Service
10623,Aleksander,Danlos,Senior Engineer,Research
10624,Sham,Gyorkos,Technique Leader,Production
10628,Krisda,Krogh,Senior Engineer,Development
10629,Lalit,Francisci,Staff,Sales
10630,Bezalel,Katzenelson,Engineer,Production
10631,Inderjeet,Chaudhuri,Engineer,Development
10634,Nahid,Chepyzhov,Senior Engineer,Development
10636,Saeko,Porotnikoff,Staff,Human Resources
10637,Heejo,Frolund,Senior Staff,Sales
10639,Pramod,Erol,Senior Engineer,Development
10641,Guozhong,Zucker,Engineer,Development
10642,Hirochika,Narlikar,Engineer,Development
10653,Otmar,Feinberg,Senior Engineer,Development
10667,Makato,Cusworth,Senior Staff,Customer Service
10671,Parviz,Rebaine,Senior Staff,Human Resources
10672,Bluma,Zeilberger,Senior Engineer,Production
10676,Valeri,Danley,Engineer,Development
10683,Guiseppe,Stranks,Senior Engineer,Production
10693,Berhard,Daescu,Senior Staff,Customer Service
10694,Rildo,Straney,Senior Staff,Marketing
10696,Unal,Fendler,Technique Leader,Development
10702,Bader,Szemeredi,Senior Engineer,Development
10712,Uma,Koprowski,Senior Engineer,Development
10718,Adib,Rullman,Senior Engineer,Development
10726,Zita,Minakawa,Senior Engineer,Development
10731,Fumitaka,Peak,Senior Staff,Finance
10734,Sachar,Erdi,Engineer,Production
10741,Sven,Huttel,Senior Staff,Marketing
10742,Shim,Wiegley,Technique Leader,Development
10745,Poorav,Ranze,Senior Engineer,Production
10747,Falguni,Khalid,Senior Engineer,Production
10749,King,Brendel,Senior Engineer,Production
10750,Roddy,Demeyer,Technique Leader,Development
10751,Jordanka,Ushiama,Engineer,Development
10764,Yunming,Beetstra,Senior Engineer,Development
10767,Monique,Doering,Staff,Sales
10768,Ishfaq,Candan,Senior Engineer,Production
10777,Mizuhito,Kemmerer,Senior Engineer,Production
10778,Selwyn,Merey,Senior Staff,Marketing
10780,Goncalo,Staudhammer,Engineer,Production
10782,Kish,Perna,Staff,Research
10791,Tadahiko,Sgarro,Senior Engineer,Development
10795,Supot,Naudin,Senior Staff,Sales
10801,Uinam,Zschoche,Engineer,Production
10803,Katsuyuki,Velasco,Senior Engineer,Quality Management
10808,Chenxi,Leijenhorst,Senior Engineer,Development
10811,Ashish,Fortenbacher,Engineer,Production
10813,Shalesh,Shumilov,Senior Staff,Sales
10814,Nidapan,Dymetman,Senior Staff,Sales
10826,Arnd,Anandan,Senior Engineer,Development
10827,Willard,Danley,Staff,Finance
10829,Alper,Narahara,Staff,Human Resources
10830,Fen,Fiebach,Senior Staff,Marketing
10831,Toong,Driscoll,Technique Leader,Development
10833,Krisda,Gecseg,Technique Leader,Quality Management
10834,Huiqun,Rajcani,Engineer,Production
10835,Tomoyuki,Kermarrec,Engineer,Production
10836,Jianhua,Leivant,Senior Staff,Customer Service
10844,Dipayan,Koprowski,Engineer,Development
10846,Tokuyasu,Serre,Senior Engineer,Development
10847,Theirry,Danley,Senior Staff,Research
10848,Fen,Bratsberg,Senior Engineer,Production
10849,Makato,Mayerwieser,Engineer,Development
10854,Jagoda,Nannarelli,Engineer,Development
10858,Kenroku,Gonthier,Senior Engineer,Development
10867,Billur,Gyorkos,Engineer,Production
10871,Aram,Gilg,Staff,Customer Service
10872,Karoline,Speel,Senior Staff,Finance
10873,Sukumar,Wegerle,Staff,Finance
10876,Vincent,Papastamatiou,Staff,Sales
10878,Lakshmi,Deville,Staff,Sales
10879,Muzhong,Chleq,Senior Engineer,Development
10882,Fun,Heuser,Engineer,Development
10883,Shimshon,Champarnaud,Engineer,Production
10885,Rayond,Cronau,Senior Staff,Marketing
10887,Lunjin,DeMori,Senior Engineer,Development
10895,Vishwani,Petersohn,Staff,Sales
10900,Ferdinand,Prenel,Senior Engineer,Development
10906,Munehiro,Carrere,Staff,Sales
10909,Georgi,Atchley,Senior Engineer,Development
10912,Oscal,Fasbender,Senior Staff,Finance
10913,Narain,Thummel,Staff,Finance
10918,Susumu,Reghbati,Staff,Finance
10920,Ronghao,Narahara,Senior Staff,Human Resources
10921,Mara,Bahi,Senior Engineer,Production
10922,Kyoichi,Wossner,Staff,Sales
10924,Hironoby,Atchley,Senior Staff,Sales
10926,Leni,Eppinger,Senior Engineer,Customer Service
10927,Gal,Scallan,Senior Staff,Marketing
10930,Arch,Minakawa,Senior Engineer,Production
10932,Avishai,Picci,Senior Engineer,Development
10936,Mountaz,Schicker,Senior Staff,Human Resources
10940,Aleksander,Fioravanti,Engineer,Development
10942,Toshimitsu,Larfeldt,Engineer,Development
10943,Berna,Skafidas,Senior Engineer,Development
10944,Remko,Zyda,Senior Engineer,Production
10947,Gor,Usery,Senior Staff,Customer Service
10948,Shigehito,Brodie,Senior Engineer,Research
10949,Shigeichiro,Wroclawski,Senior Staff,Finance
10956,Arno,Picel,Engineer,Production
10965,Eckart,Braunschweig,Senior Staff,Sales
10969,Premal,Noriega,Senior Engineer,Development
10971,Isamu,Vadhan,Technique Leader,Development
10974,Muneo,Papsdorf,Senior Engineer,Development
10985,Chiradeep,Furedi,Engineer,Research
10986,Masako,Schiper,Technique Leader,Development
10987,Flemming,Baezner,Engineer,Development
10988,Chinya,Deyuan,Senior Engineer,Development
10989,Sumali,Candan,Senior Staff,Finance
10990,Shin,Foote,Technique Leader,Development
10996,Matk,Rahimi,Senior Staff,Sales
11002,Bluma,Ulupinar,Senior Staff,Sales
11004,JoAnna,Decleir,Senior Engineer,Quality Management
11009,Alper,Axelband,Senior Staff,Sales
11012,Taegyun,Speckmann,Staff,Marketing
11019,Leon,Huttel,Senior Engineer,Development
11021,Srinidhi,Henders,Staff,Research
11024,Manton,Collavizza,Staff,Sales
11027,Remzi,Cappello,Senior Engineer,Production
11028,Miyeon,Krider,Senior Engineer,Production
11031,Ottavia,Walstra,Senior Staff,Marketing
11032,Erez,Schaaf,Staff,Development
11037,Lansing,Maliniak,Senior Engineer,Production
11038,Jinya,Beidas,Senior Staff,Research
11042,Gou,Breugel,Senior Engineer,Development
11048,Jaques,Demke,Senior Staff,Sales
11050,Elvis,Katiyar,Senior Staff,Marketing
11051,Przemyslawa,Erol,Senior Engineer,Production
11056,Palash,Speel,Staff,Sales
11060,Genevieve,Pokrovskii,Staff,Sales
11061,Pintsang,Erni,Senior Staff,Sales
11064,Shawna,Vieri,Senior Engineer,Production
11066,Shaz,Langford,Senior Staff,Finance
11070,Adib,Raney,Senior Engineer,Quality Management
11071,Kwan,Sigstam,Senior Engineer,Development
11075,Karsten,Belinskaya,Senior Engineer,Production
11077,Hideyuki,Merro,Senior Staff,Customer Service
11079,Piyush,Garigliano,Senior Engineer,Development
11081,Barry,Boyle,Senior Staff,Finance
11083,Shimshon,Ducloy,Senior Staff,Human Resources
11084,Greger,Senzako,Senior Engineer,Production
11085,Hailing,Thummel,Senior Engineer,Production
11087,Changho,Jayawardene,Senior Engineer,Production
11089,Conal,Henders,Senior Staff,Sales
11091,Souichi,Ramsay,Engineer,Production
11092,Narain,Stamatiou,Staff,Sales
11098,Arnd,Covnot,Engineer,Development
11100,Berna,Cochrane,Senior Staff,Research
11106,Aris,Iwayama,Senior Engineer,Development
11110,Valeska,Birjandi,Staff,Production
11111,Udi,Zastre,Assistant Engineer,Production
11112,Boaz,Mukaidono,Staff,Customer Service
11113,Shahab,Peng,Senior Staff,Marketing
11114,Tse,Felcyn,Staff,Research
11119,Ramzi,Luga,Engineer,Production
11121,Vugranam,Kakkad,Senior Engineer,Development
11130,Xinyu,Menhoudj,Senior Staff,Human Resources
11132,Kristin,Harnett,Senior Engineer,Production
11133,Nalini,Azulay,Technique Leader,Quality Management
11134,Sachar,Rajcani,Senior Engineer,Quality Management
11137,Hugh,Luca,Engineer,Development
11139,Bogdan,Homond,Senior Staff,Customer Service
11143,Yongdong,Rosen,Engineer,Development
11144,Carrsten,Heinisuo,Senior Staff,Sales
11145,Jinxi,Baak,Engineer,Production
11146,Ishfaq,Masand,Senior Staff,Sales
11147,Ayonca,Nitsch,Engineer,Development
11148,Zhanqiu,Botman,Senior Staff,Human Resources
11156,Tomoyuki,Armand,Staff,Development
11158,Masaki,Hagimont,Senior Engineer,Production
11162,Kauko,Narlikar,Senior Engineer,Development
11168,Shmuel,Tetzlaff,Senior Staff,Sales
11170,Minghong,Cannard,Senior Engineer,Development
11174,Akhilish,Milicia,Engineer,Production
11177,Chrisa,dAstous,Senior Engineer,Development
11180,Mitsuyuki,Bojadziev,Senior Engineer,Development
11181,Hausi,Cullers,Engineer,Development
11185,Aloys,Baezner,Senior Staff,Customer Service
11186,Kshitij,Stasinski,Senior Engineer,Production
11189,Dante,Bodoff,Senior Staff,Sales
11192,Apostol,Bahr,Engineer,Quality Management
11195,Masanao,Lovengreen,Senior Engineer,Production
11197,Tadahiro,Fordan,Senior Staff,Sales
11201,Jouko,Masaki,Staff,Research
11203,Sakthirel,Yetto,Senior Staff,Finance
11204,Diederik,Covnot,Technique Leader,Production
11206,Steen,Sury,Staff,Sales
11207,Saeed,Gips,Engineer,Development
11208,Saniya,Valtorta,Technique Leader,Production
11211,Yurij,Rissland,Senior Engineer,Production
11213,Vugranam,Munoz,Technique Leader,Production
11217,Kellie,Mawatari,Senior Engineer,Production
11218,Kirk,Hemaspaandra,Technique Leader,Quality Management
11221,Alselm,Hammerschmidt,Engineer,Development
11229,Gretta,Ramamoorthy,Senior Engineer,Production
11232,Hidefumi,Crelier,Senior Staff,Customer Service
11233,Sanjit,Waschkowski,Senior Engineer,Development
11240,Kiam,Condotta,Engineer,Development
11243,Udi,Desikan,Assistant Engineer,Production
11249,Randi,Cyre,Engineer,Development
11251,Bezalel,Chinal,Senior Staff,Marketing
11253,Koldo,Pokrovskii,Senior Engineer,Development
11254,Danel,Rindone,Staff,Sales
11258,Aris,Maccarone,Senior Staff,Customer Service
11266,Florina,Rohrbach,Senior Engineer,Quality Management
11267,Shaunak,Zaumen,Senior Engineer,Research
11268,Aimee,Petersohn,Senior Engineer,Production
11274,Masanao,Nicolson,Staff,Customer Service
11275,Hitomi,Eppinger,Senior Engineer,Development
11288,Domenico,Eastman,Senior Staff,Marketing
11289,Chuanti,Cherinka,Senior Engineer,Development
11290,Visit,Dredge,Engineer,Development
11291,Gino,Glowinski,Senior Engineer,Development
11292,Souichi,Sichman,Senior Engineer,Development
11294,Tru,Segond,Senior Engineer,Development
11295,Abdelkader,Lanzelotte,Senior Staff,Finance
11296,Hironobu,Kenevan,Senior Engineer,Production
11297,Geraldo,Levergood,Engineer,Production
11300,Lillian,Fontet,Engineer,Development
11301,Mingzeng,Oxenboll,Senior Staff,Human Resources
11302,Shem,Senzako,Staff,Sales
11315,Neven,Meriste,Staff,Sales
11317,Shigeaki,Hagimont,Senior Staff,Research
11319,Pranas,Marrakchi,Assistant Engineer,Development
11320,Atilio,McAlpine,Senior Staff,Marketing
11322,Nathalie,Pocchiola,Senior Engineer,Quality Management
11324,Kauko,Billingsley,Senior Engineer,Production
11325,Samphel,Rossi,Engineer,Development
11326,Munenori,Plesums,Senior Engineer,Development
11338,Kwangsub,Hanratty,Senior Staff,Sales
11339,Flemming,Massonet,Senior Engineer,Production
11340,Aris,Bala,Senior Engineer,Production
11343,Susanne,Erez,Senior Engineer,Development
11347,Anneli,Jonsson,Senior Engineer,Development
11349,Yurii,Hammerschmidt,Engineer,Production
11360,Fen,Schach,Senior Staff,Sales
11365,Toshimi,Shinomoto,Engineer,Production
11372,Susanta,Vilarrasa,Senior Staff,Sales
11373,Yongmao,Keohane,Senior Staff,Customer Service
11376,Valery,Suomi,Senior Staff,Research
11380,Kenroku,Pelc,Senior Engineer,Development
11385,Shiv,Ullian,Engineer,Production
11386,Alselm,Assaf,Senior Engineer,Quality Management
11387,Jordanka,Kalloufi,Engineer,Production
11393,Junsik,Junot,Senior Engineer,Production
11396,Anneke,Servieres,Engineer,Development
11398,Oscar,Peir,Senior Staff,Finance
11401,Huan,Merey,Staff,Sales
11404,Bedrich,Borovoy,Technique Leader,Development
11406,Eberhardt,Gini,Senior Staff,Research
11410,Gro,Vendrig,Engineer,Development
11414,Eishiro,Pearson,Senior Staff,Marketing
11415,Sanjiv,Anido,Engineer,Production
11417,Anneli,Cyne,Technique Leader,Quality Management
11418,Satosi,Cooley,Senior Staff,Human Resources
11420,Tsutomu,Lalonde,Senior Staff,Human Resources
11421,Josyula,Msuda,Senior Engineer,Production
11423,Guangming,Kopetz,Staff,Customer Service
11425,Renee,Crelier,Senior Engineer,Development
11428,Remco,Reinhart,Engineer,Quality Management
11431,Youngkon,Picht,Senior Staff,Human Resources
11441,Marlo,Aingworth,Senior Staff,Sales
11446,Naftali,Narahara,Senior Engineer,Development
11449,Kotesh,Asser,Senior Engineer,Production
11451,Eben,Rajaraman,Senior Engineer,Production
11452,Shigehito,Luby,Senior Staff,Customer Service
11459,Duke,Suomi,Senior Staff,Human Resources
11460,Mana,Maraist,Senior Engineer,Production
11461,Kish,Cronau,Senior Engineer,Production
11468,Navin,Maksimenko,Staff,Sales
11469,Guttorm,Giaccio,Senior Engineer,Production
11474,Gennady,Akazan,Engineer,Production
11476,Manton,Yoshizawa,Staff,Marketing
11477,Fox,Narahari,Engineer,Production
11479,Shridhar,Pleszkun,Staff,Finance
11501,Karsten,Ranum,Senior Staff,Marketing
11503,Nathan,Picht,Senior Engineer,Development
11506,Rance,Picel,Staff,Sales
11509,Aleksander,Feldhoffer,Senior Engineer,Development
11513,Otmar,Mahnke,Senior Staff,Finance
11515,Ulf,Basawa,Staff,Sales
11518,Jinxi,Oxman,Senior Staff,Human Resources
11519,Halsur,Chinen,Senior Staff,Sales
11521,Eldridge,Eastman,Staff,Sales
11523,Yuguang,Pezzoli,Engineer,Development
11524,Xiadong,Standera,Senior Engineer,Development
11526,Tonny,Impagliazzo,Senior Staff,Finance
11527,Alagu,Boyle,Staff,Marketing
11528,Zito,Dolinsky,Technique Leader,Production
11531,Radhika,Motley,Technique Leader,Production
11533,Vitaly,Lorch,Technique Leader,Development
11537,DAIDA,Pehl,Senior Staff,Sales
11540,Chanjung,Portugali,Senior Engineer,Production
11554,Subhash,Taubenfeld,Staff,Marketing
11555,Kotesh,Perfilyeva,Senior Staff,Human Resources
11562,Rimli,Alencar,Engineer,Production
11567,Teiji,Mitzlaff,Senior Staff,Sales
11568,Martins,Fujisaki,Senior Engineer,Development
11573,Pranas,Hutton,Senior Engineer,Development
11575,Godehard,Plotkin,Engineer,Development
11577,Mayumi,Deyuan,Senior Engineer,Quality Management
11578,Edwin,Rosti,Senior Engineer,Production
11581,Patricio,Rosenbaum,Senior Engineer,Development
11587,Shem,Zambonelli,Senior Engineer,Development
11588,Kaijung,Panangaden,Senior Staff,Human Resources
11589,Gina,Plessier,Senior Engineer,Development
11595,Takanari,Kamber,Senior Staff,Marketing
11596,Yannik,Gunderson,Staff,Finance
11597,Yongdong,Talmon,Senior Engineer,Development
11602,Somnath,Malabarba,Senior Staff,Marketing
11603,Herb,Swen,Senior Staff,Finance
11606,Perry,Pepe,Senior Staff,Customer Service
11607,Tomokazu,Foong,Engineer,Production
11615,Shem,Isaak,Senior Staff,Sales
11616,Zhilian,Brendel,Engineer,Production
11624,Adil,Gammage,Senior Engineer,Production
11628,Fan,Malinowski,Senior Engineer,Research
11636,Fumitaka,Shiratori,Engineer,Development
11640,Valeri,Coorg,Senior Engineer,Development
11641,Chikako,Rothenberg,Senior Engineer,Development
11644,Sanjit,Zaiane,Assistant Engineer,Production
11646,Lobel,Rubsam,Engineer,Development
11647,Magy,Nitsche,Senior Engineer,Development
11649,Shen,Bernardinello,Technique Leader,Development
11660,Gill,Stenning,Senior Staff,Sales
11664,Oksana,Brizzi,Senior Staff,Sales
11667,Kristian,Marchegay,Senior Staff,Marketing
11673,Henk,Felder,Technique Leader,Production
11676,Valeri,Ferriere,Engineer,Production
11681,Fumitake,Benzmuller,Senior Engineer,Production
11684,Oksana,Gide,Senior Staff,Marketing
11686,Nadjib,Srimani,Senior Staff,Production
11690,Domenick,Raczkowsky,Staff,Human Resources
11693,Hideo,Coorg,Senior Engineer,Development
11696,Dante,Rothe,Senior Staff,Sales
11705,Arve,Hofmeyr,Senior Staff,Finance
11708,Chenye,Angot,Staff,Sales
11713,Danel,Heusch,Senior Engineer,Production
11732,Sanjoy,Ranft,Senior Engineer,Production
11733,Leszek,Sudbeck,Senior Engineer,Development
11735,Amalendu,Picci,Senior Staff,Customer Service
11736,Shugo,Uchoa,Senior Engineer,Production
11737,Martina,Garnier,Assistant Engineer,Quality Management
11738,Tadahiro,Lichtman,Senior Engineer,Production
11746,Koichi,Marrakchi,Senior Staff,Sales
11747,Aksel,Kossowski,Senior Staff,Sales
11748,Lihong,Massonet,Engineer,Development
11751,Jiafu,Emiris,Senior Staff,Research
11755,Zhenbing,Karner,Senior Staff,Customer Service
11756,Abdelwaheb,Vakili,Engineer,Development
11763,Yuriy,Liesche,Engineer,Development
11764,Sanjay,Anick,Senior Engineer,Production
11765,Zorica,Junet,Senior Staff,Human Resources
11769,Chandrasekaran,Lampe,Senior Staff,Development
11770,Arumugam,Jakobus,Senior Engineer,Development
11772,Gaurav,Penz,Engineer,Development
11774,Aron,Wroclawski,Engineer,Production
11778,Dhritiman,Fontan,Senior Engineer,Production
11779,Shunichi,Thombley,Staff,Research
11791,Gal,Mamelak,Senior Engineer,Development
11797,Chenxi,Thambidurai,Senior Staff,Sales
11801,Tommaso,Dayang,Senior Staff,Sales
11805,Rosine,Grandbois,Assistant Engineer,Development
11807,Chriss,Binding,Technique Leader,Customer Service
11810,Amabile,Bhattacharjee,Senior Engineer,Development
11811,Herb,Boissier,Senior Staff,Sales
11813,Gita,Muhlberg,Staff,Sales
11814,Manohar,Shinomoto,Staff,Human Resources
11817,Niranjan,Markovitch,Senior Staff,Sales
11821,Mary,Piazza,Senior Engineer,Production
11822,Sastry,Madeira,Staff,Customer Service
11823,Weiyi,Iacovou,Senior Engineer,Research
11829,Chaosheng,Pettis,Assistant Engineer,Production
11832,Arto,Zlotek,Engineer,Development
11836,Ortrud,Bakhtari,Senior Staff,Research
11838,Taiji,Nitta,Staff,Sales
11841,Elvia,Bugrara,Staff,Marketing
11842,Moto,Piazza,Senior Staff,Research
11844,Shawna,Demeyer,Senior Engineer,Development
11846,Fai,Perly,Senior Engineer,Production
11847,Tzvetan,Brandsma,Senior Engineer,Production
11853,Zeljko,Kusakabe,Senior Staff,Marketing
11857,Divier,Farrag,Senior Staff,Sales
11862,Alejandra,Deville,Senior Engineer,Production
11864,Pradeep,Kriebel,Staff,Customer Service
11868,Kwee,Demke,Engineer,Quality Management
11869,Fumino,Luca,Engineer,Production
11871,Nalini,Sommen,Senior Engineer,Development
11872,Cheong,Riexinger,Senior Staff,Marketing
11876,Leszek,Kobuchi,Senior Engineer,Development
11877,Heng,Sudkamp,Senior Staff,Customer Service
11881,Arra,Staelin,Senior Staff,Sales
11883,Nectarios,Bhattacharjee,Engineer,Quality Management
11888,Badri,Azulay,Senior Staff,Marketing
11894,Mitchel,Validov,Senior Engineer,Development
11896,Shaunak,Benzmuller,Technique Leader,Production
11897,Cordelia,Setlzner,Senior Staff,Sales
11906,Hideo,Boguraev,Engineer,Development
11911,Ashish,Mondadori,Senior Engineer,Development
11915,Miomir,Mawatari,Senior Engineer,Production
11917,Jiakeng,VanScheik,Engineer,Production
11926,Leni,Felcyn,Engineer,Production
11931,Gunilla,Chiodo,Senior Staff,Research
11933,Basil,Erman,Senior Engineer,Development
11938,Aruna,Verspoor,Staff,Production
